Author,Title,Ban Status,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge,Academic Year
"Bechdel, Alison",Fun Home: A Family Tragicomic,Banned Pending Investigation,,,,Michigan,Rochester Community Schools District,April 2022,Administrator,2021-2022
"Bechdel, Alison",Fun Home: A Family Tragicomic,Banned in Libraries and Classrooms,,,,Missouri,Nixa Public Schools,May 2022,Formal Challenge,2021-2022
"Bechdel, Alison",Fun Home: A Family Tragicomic,Banned Pending Investigation,,,,Missouri,North Kansas City Schools,October 2021,Formal Challenge,2021-2022
"Bechdel, Alison",Fun Home: A Family Tragicomic,Banned Pending Investigation,,,,Missouri,Wentzville School District,October 2021,Formal Challenge,2021-2022
"Bechdel, Alison",Fun Home: A Family Tragicomic,Banned in Libraries and Classrooms,,,,Rhode Island,Pawtucket School Department,December 2021,Administrator,2021-2022
"Bechdel, Alison",Fun Home: A Family Tragicomic,Banned in Libraries and Classrooms,,,,South Dakota,Rapid City Area Schools,April 2022,Administrator,2021-2022
"Bechdel, Alison",Fun Home: A Family Tragicomic,Banned Pending Investigation,,,,Texas,Birdville Independent School District,October 2021,Formal Challenge,2021-2022
"Bechdel, Alison",Fun Home: A Family Tragicomic,Banned in Libraries and Classrooms,,,,Texas,Clear Creek Independent School District,May 2022,Administrator,2021-2022
"Becker, Helaine",Counting on Katherine: How Katherine Johnson Saved Apollo 13,Banned in Classrooms,,"Phumiruk, Dow",,Pennsylvania,Central York School District,August 2021,Administrator,2021-2022
"Beckman, Wendy Hart","Dating, Relationships, And Sexuality: What Teens Should Know",Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,2021-2022
"Behar, Ruth",Lucky Broken Girl,Banned Pending Investigation,,,,Florida,Duval County Public Schools,January 2022,Administrator,2021-2022
"Behar, Ruth",Lucky Broken Girl,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator,2021-2022
"Belge, Kathy",Queer: The Ultimate LGBTQ Guide for Teens,Banned in Libraries,"Bieschke, Marke","Robinson, Christopher",,Florida,St. Johns County School District,May 2022,Formal Challenge,2021-2022
"Belge, Kathy",Queer: The Ultimate LGBTQ Guide for Teens,Banned in Libraries and Classrooms,"Bieschke, Marke","Robinson, Christopher",,Tennessee,Collierville Schools,February 2022,Administrator,2021-2022
"Belge, Kathy",Queer: The Ultimate LGBTQ Guide for Teens,Banned in Libraries and Classrooms,"Bieschke, Marke","Robinson, Christopher",,Wisconsin,Elmbrook Schools,July 2021,Administrator,2021-2022
"Belge, Kathy",Queer: The Ultimate LGBTQ Guide for Teens,Banned in Libraries and Classrooms,"Bieschke, Marke","Robinson, Christopher",,Wisconsin,School District of Waukesha,December 2021,Administrator,2021-2022
"Bell, Derrick",Faces at the Bottom of the Well: The Permanence of Racism,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator,2021-2022
"Bell, Eric",Alan Cole Is Not a Coward,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,2021-2022
"Bell, William",Death Wind,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator,2021-2022
"Bell, William",Death Wind,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,2021-2022
"Bell, William",La tormenta,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,2021-2022
"Benincasa, Sara",Great,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator,2021-2022
"Benincasa, Sara",Great,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,2021-2022
"Bennett, Kelly",Not Norman: A Goldfish Story,Banned in Classrooms,,"Jones, Noah Z.",,Pennsylvania,Central York School District,August 2021,Administrator,2021-2022
"Bennett, Michael",Things That Make White People Uncomfortable (Adapted for Young Adults),Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator,2021-2022
"Benway, Robin",Far from the Tree,Banned in Libraries,,,,Indiana,Middlebury Community Schools,December 2021,Administrator,2021-2022
"Benway, Robin",Far from the Tree,Banned Pending Investigation,,,,Tennessee,Hamilton County Schools,October 2021,Administrator,2021-2022
"Benwell, Fox",Kaleidoscope Song,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator,2021-2022
"Berenstain, Jan",The Berenstain Bears and the Big Question (The Berenstain Bears Series),Banned Pending Investigation,"Berenstain, Stan",,,Florida,Duval County Public Schools,January 2022,Administrator,2021-2022
"Bermudez, Cyn",This Place Is Not My Home,Banned Pending Investigation,,,,Florida,Duval County Public Schools,January 2022,Administrator,2021-2022
"Bertie, Alex",Trans Mission: My Quest to a Beard,Banned Pending Investigation,,,,Kansas,Goddard Public Schools,November 2021,Administrator,2021-2022
"Bertie, Alex",Trans Mission: My Quest to a Beard,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator,2021-2022
"Bertie, Alex",Trans Mission: My Quest to a Beard,Banned in Libraries and Classrooms,,,,Texas,Frisco Independent School District,February 2022,Administrator,2021-2022
"Bertie, Alex",Trans Mission: My Quest to a Beard,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator,2021-2022
"Bevan, Thomas E.",Being Transgender: What You Should Know,Banned in Libraries and Classrooms,,,,Tennessee,Collierville Schools,February 2022,Administrator,2021-2022
"Bick, Ilsa J.",The Sin-Eater's Confession,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator,2021-2022
"Bick, Ilsa J.",The Sin-Eater's Confession,Banned Pending Investigation,,,,Texas,Klein Independent School District,November 2021,Administrator,2021-2022
"Bick, Ilsa J.",The Sin-Eater's Confession,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,2021-2022
"Bildner, Phil",Marvelous Cornelius: Hurricane Katrina and the Spirit of New Orleans,Banned in Classrooms,,"Parra, John",,Pennsylvania,Central York School District,August 2021,Administrator,2021-2022
"Bildner, Phil",Most Valuable Players (Rip and Red Series),Banned Pending Investigation,,"Probert, Tim",,Florida,Duval County Public Schools,January 2022,Administrator,2021-2022
"Bildner, Phil",Playing the Field,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,2021-2022
"Birch, Anna",I Kissed Alice,Banned Pending Investigation,,"Ying, Victoria",,Tennessee,Collierville Schools,February 2022,Administrator,2021-2022
"Bird, Jackson","Sorted: Growing Up, Coming Out, and Finding My Place",Banned in Libraries,,,,Florida,Indian River County School District,November 2021,Administrator,2021-2022
"Birtha, Becky",Grandmama's Pride,Banned Pending Investigation,,,,Florida,Duval County Public Schools,January 2022,Administrator,2021-2022
"Bjorkman, Lauren",My Invented Life,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator,2021-2022
"Bjorkman, Lauren",My Invented Life,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,2021-2022
"Blackall, Sophie",The Baby Tree,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator,2021-2022
"Blackall, Sophie",The Baby Tree,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator,2021-2022
"Blackall, Sophie",The Baby Tree,Banned in Libraries and Classrooms,,,,Wisconsin,School District of Cadott Community,March 2022,Formal Challenge,2021-2022
"Blacker, Terence",Boy2Girl,Banned Pending Investigation,,,,Florida,Indian River County School District,November 2021,Administrator,2021-2022
"Blake, Ashley Herring",Girl Made of Stars,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator,2021-2022
"Blake, Ashley Herring",Girl Made of Stars,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator,2021-2022
"Blake, Ashley Herring",How to Make a Wish,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator,2021-2022
"Blake, Ashley Herring",Ivy Aberdeen's Letter to the World,Banned Pending Investigation,,,,Florida,Duval County Public Schools,January 2022,Administrator,2021-2022
"Blake, Ashley Herring",Ivy Aberdeen's Letter to the World,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator,2021-2022
"Blake, Ashley Herring",La carta de Ivy Aberdeen al mundo/Ivy Aberdeen's Letter to the World,Banned Pending Investigation,,,"Rojas, María Celina",Texas,North East Independent School District,December 2021,Administrator,2021-2022
"Blake, Ashley Herring",The Mighty Heart of Sunny St. James,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator,2021-2022
"Blakemore, Kim Taylor",Bowery Girl,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator,2021-2022
"Blount, Patty",Someone I Used to Know,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator,2021-2022
"Blume, Judy",Forever...,Banned Pending Investigation,,,,Florida,Brevard Public Schools,March 2022,Administrator,2021-2022
"Blume, Judy",Forever...,Banned in Libraries,,,,Florida,Indian River County School District,November 2021,Administrator,2021-2022
"Blume, Judy",Forever...,Banned in Libraries and Classrooms,,,,Florida,Jackson County School District,April 2022,Administrator,2021-2022
"Blume, Judy",Forever...,Banned Pending Investigation,,,,Florida,Walton County School District,April 2022,Administrator,2021-2022
"Blume, Judy","Then Again, Maybe I Won't",Banned Pending Investigation,,,,Texas,Fredericksburg Independent School District,March 2022,Administrator,2021-2022
"Blumenthal, Karen",Jane Against the World: Roe v. Wade and the Fight for Reproductive Rights,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator,2021-2022
"Boelts, Maribeth",A Bike Like Sergio's,Banned in Classrooms,,"Jones, Noah Z.",,Pennsylvania,Central York School District,August 2021,Administrator,2021-2022
"Boelts, Maribeth",Those Shoes,Banned in Classrooms,,"Jones, Noah Z.",,Pennsylvania,Central York School District,August 2021,Administrator,2021-2022
"Bolden, Tonya",Changing the Equation: 50+ US Black Women in STEM,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator,2021-2022
"Bongiovanni, Archie",A Quick & Easy Guide to They/Them Pronouns,Banned in Libraries and Classrooms,"Jimerson, Tristan",,,Tennessee,Collierville Schools,February 2022,Administrator,2021-2022
"Borinsky, Agnes",Sasha Masha,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator,2021-2022
Born This Way Foundation Reporters,Channel Kindness: Stories of Kindness and Community,Banned Pending Investigation,Lady Gaga,,,Tennessee,Collierville Schools,February 2022,Administrator,2021-2022
"Bors, Matt","Be Gay, Do Comics: Queer History, Memoir, and Satire from The Nib",Banned in Libraries and Classrooms,,,,Tennessee,Collierville Schools,February 2022,Administrator,2021-2022
"Boteju, Tanya",Bruised,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator,2021-2022
"Boteju, Tanya","Kings, Queens, and In-Betweens",Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator,2021-2022
"Bourne, Shakirah","Allies: Real Talk About Showing Up, Screwing Up, And Trying Again",Banned Pending Investigation,"Levy, Dana Alison",,,Tennessee,Collierville Schools,February 2022,Administrator,2021-2022
"Bowles, David",The Witch Owl Parliament (Clockwork Curandera Series),Banned Pending Investigation,Raúl the Third,"Robinson, Stacey; Duffy, Damian",,Tennessee,Collierville Schools,February 2022,Administrator,2021-2022
"Bowman, Akemi Dawn",Summer Bird Blue,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator,2021-2022
"Boyd, Maria",Will,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator,2021-2022
"Braden, Ann",The Benefits of Being an Octopus,Banned in Libraries,,,,Mississippi,Madison County Schools,April 2022,Administrator,2021-2022
"Brandon, James","Ziggy, Stardust and Me",Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator,2021-2022
"Braswell, Kenneth","Daddy, There's A Noise Outside",Banned in Classrooms,,"Dent, Joe; Anderson, Julie",,Pennsylvania,Central York School District,August 2021,Administrator,2021-2022
"Braun, Eric",Protest Movements: Then and Now,Banned in Libraries and Classrooms,,,,Wisconsin,School District of Cadott Community,March 2022,Formal Challenge,2021-2022
"Bray, Libba",Lair of Dreams (The Diviners Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator,2021-2022
"Brewer, Z",Into the Real,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator,2021-2022
"Bridges, Ruby",This Is Your Time,Banned in Libraries,,,,Texas,Katy Independent School District,January 2022,Administrator,2021-2022
"Bridges, Ruby",This Is Your Time,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator,2021-2022
"Brooks, Kevin",Black Rabbit Summer,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator,2021-2022
"Brooks, Kevin",Black Rabbit Summer,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,2021-2022
"Brown-Wood, JaNay",Imani's Moon,Banned in Classrooms,,"Mitchell, Hazel",,Pennsylvania,Central York School District,August 2021,Administrator,2021-2022
"Brown, Dinah",Who Is Malala Yousafzai? (Who was...? Series),Banned in Classrooms,,"Thomson, Andrew",,Pennsylvania,Central York School District,August 2021,Administrator,2021-2022
