Author,Title,Ban Status,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge,Academic Year
"Anderson, Laurie Halse",Twisted,Banned Pending Investigation,,,,Idaho,Kuna School District,February 2023,Administration,2022-2023
"Anderson, Laurie Halse",Twisted,Banned Pending Investigation,,,,North Dakota,Williston Basin School District #7,September 2022,Informal Challenge,2022-2023
"Anderson, Laurie Halse",Twisted,Banned Pending Investigation,,,,Pennsylvania,Penncrest School District,February 2023,Administration,2022-2023
"Anderson, Laurie Halse",Twisted,Banned from Libraries,,,,Utah,Alpine School District,November 2022,Legislative Action,2022-2023
"Anderson, Laurie Halse",Twisted,Banned from Libraries and Classrooms,,,,Utah,Wasatch School District,AY 2022-2023,Formal Challenge,2022-2023
"Anderson, Laurie Halse",Wintergirls,Banned Pending Investigation,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Anderson, Laurie Halse",Wintergirls,Banned from Libraries and Classrooms,,,,Florida,Volusia County Schools,June 2023,Administration,2022-2023
"Anderson, Laurie Halse",Wintergirls,Banned Pending Investigation,,,,Pennsylvania,Penncrest School District,February 2023,Administration,2022-2023
"Anderson, Laurie Halse",Wintergirls,Banned Pending Investigation,,,,South Carolina,Beaufort County School District,October 2022,Informal Challenge,2022-2023
"Anderson, Laurie Halse",Wintergirls,Banned Pending Investigation,,,,Texas,Keller Independent School District,February 2023,Formal Challenge,2022-2023
"Anderson, M. T.",The Daughters of Ys,Banned from Libraries and Classrooms,,"Rioux, Jo",,Missouri,Kirkwood School District,October 2022,Legislative Action,2022-2023
"Anderson, M. T.",The Daughters of Ys,Banned Pending Investigation,,"Rioux, Jo",,Missouri,Wentzville School District,September 2022,Legislative Action,2022-2023
"Anderson, William",Laura Ingalls Wilder Country: The People and Places in Laura Ingalls Wilder's Life and Books,Banned from Libraries and Classrooms,,,,Florida,Brevard Public Schools,June 2023,Informal Challenge,2022-2023
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned from Libraries and Classrooms,,,,Florida,Clay County School District,July 2022,Formal Challenge,2022-2023
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned Pending Investigation,,,,Florida,Escambia County Public Schools,September 2022,Formal Challenge,2022-2023
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned from Libraries and Classrooms,,,,Florida,Flagler Schools,October 2022,Formal Challenge,2022-2023
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned from Libraries and Classrooms,,,,Florida,Highlands Schools,March 2023,Administration,2022-2023
